Français;Sésames;Chapitre;Nombre de traits;JLPT;Kanji;id;Lecture On;Autres sens (lecture On);Lecture Kun;Autres sens (lecture Kun)
un;Aucun;1;1;5;一;41;ichi, 	itsu;one, a;hito, hito(tsu);one, a unit/ the same/ just/ once
deux;Aucun;1;2;5;二;1577;ni;two, second;futa, futa(tsu);two
trois;Aucun;1;3;5;三;744;san;three;mi, mi(tsu), mit(tsu);three
quatre;bouche, paire de pattes;1;5;5;四;767;shi;four;yo, yo(tsu), yot(tsu), yon;four
cinq;Aucun;1;4;5;五;576;go;five;itsu, itsu(tsu);five/ five years old
six;chapeau haut de forme, paire de pattes;1;4;5;六;2125;roku;six;mu, mu(tsu), mut(tsu), [mui];six
sept;Aucun;1;2;5;七;829;shichi;seven;nana, nana(tsu), [nano];seven
huit;Aucun;1;2;5;八;1647;hachi;eight;ya, ya(tsu), yat(tsu), [yoo];eight
neuf;Aucun;1;2;5;九;359;kyuu, 	ku;nine;kokono, kokono(tsu);nine
dix;Aucun;1;2;5;十;907;juu, 	jiQ;ten;too, to;ten
bouche;Aucun;1;3;4;口;587;koo, 	ku;mouth;kuchi;mouth, lips/ speech, words/ one's taste, stopper, plug/ nozzle, orifice, slit, aperture/ door, gate, entrance/ route, ascent/ employment, job/ call (for a doctor)/ share/ kind, lot, brand/ beginning/ rumor, opening (of a boil)
jour,soleil;Aucun;1;4;5;日;1583;nichi, 	jitsu;day/ Sunday;hi, ka;sun/ time/ day, date
mois,lune;Aucun;1;4;5;月;513;getsu, 	gatsu;moon/ month/ Monday/ month (of the year);tsuki;moon/ month
rizière;Aucun;1;5;4;田;1480;den;rice field, paddy field;ta;rice field, paddy field
œil;Aucun;1;5;4;目;1947;moku, [boku];item, division, class/ order (of plants or animals);me, [ma];eye/ look, gaze/ notice, attention/ viewpoint/ discrimination, insight/ experience/ treatment/ care, favor, pity/ texture, weave/ mesh/ grain, square/ sight, vision/ tooth (of a saw)/ weight/ momme (0.1325 oz.)/ eye (of a needle) 
vieux;dix, bouche (pierre tombale);2;5;4;古;559;ko;old;furu(i), furu(su);old, aged, ancient, antiquated/ stale, threadbare/ outmoded, obsolete article  
moi;cinq, bouche;2;7;0;吾;;go;I, my, our, one's own ;ware, waga-, a-;
risque;soleil, œil;2;9;1;冒;1862;boo;risk, face, defy, dare/ (diseases) attack/ damage/ desecrate/ assume (a name) ;oka(su);risk, face, defy, dare/ (diseases) attack/ damage/ desecrate/ assume (a name) 
compagnon;chair;2;8;1;朋;;hoo;companion, friend ;tomo;
clair;soleil, lune;2;8;4;明;1928;mei, 	myoo;clearness, shining/ eyesight/ discernment. next (week), tomorrow (morning) ;a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu);open/ empty, vacate/ leave (a space)/ clear (the table)/ make (a hole)/ reserve (a seat), stay away from/ dawn/ end, expire, be over/ open, begin. be opened/ start, commence/ become vacant, become empty, be disengaged, be free/ expire, be over. spend, pass the time/ reveal, divulge. light, lamp/ vindication. bright, cheerful, sunny/ clear, clean/ conversant with. plain, distinct, definite, obvious, indisputable, evident. next, following 
chœur;bouche, langue qui s’agite dans la bouche;2;11;1;唱;981;shoo;recite, chant/ call upon/ cry, yell (banzai)/ advocate, preach/ quote (prices) ;tona(eru);recite, chant/ call upon/ cry, yell (banzai)/ advocate, preach/ quote (prices) 
étinceler;soleil;2;12;1;晶;989;shoo;clear, crystal;-;-
marchandises;bouche;2;9;4;品;1729;hin;refinement, dignity/ article ;shina;article, goods, thing/ quality/ brand/ kind, type/ ways, conditions/ character 
épine dorsale;Aucun;2;7;1;呂;2110;ro;backbone;-;-
prospère;soleil;2;8;1;昌;;shoo;prosperous, bright, clear ;sakan;
tôt;soleil, aiguille;2;6;4;早;1219;soo, [saQ];quick, fast, speedy/ brisk, prompt/ early/ premature;haya(i), haya(maru), haya(meru);quick, fast, speedy/ brisk, prompt/ early/ premature. hasten, precipitate, accelerate, expedite/ advance (the date). be hasty, be rash
soleil levant;soleil, neuf;2;6;1;旭;;kyoku;rising sun, morning sun ;asahi;
génération;dix;2;5;4;世;1105;sei, 	se;generation/ world. age, counter for kings of the same name;yo;world, society, public/ life, existence, career, life-time/ age, era, generation, times/ reign
estomac;cerveau, chair/partie du corps;2;9;2;胃;25;i;stomach/ paunch, crop, craw;-;-
point du jour;soleil, plancher;2;5;1;旦;1334;tan, dan;dawn, early moring;-;-
vésicule biliaire;partie du corps, point du jour;2;9;1;胆;1338;tan;gall bladder/ courage;-;-
temps qui passe ;jour, plafond, plancher;2;6;1;亘;;koo, kan, sen;span, range, extend over ;wata(ru), moto(meru);
concave;Aucun;2;5;1;凹;106;oo;hollow, sunken;-;-
convexe;Aucun;2;5;1;凸;1558;totsu;projecting, beetle brow;-;-
ancien temps;bâton de marche, jour;3;5;2;旧;364;kyuu;old things/ old times/ old friend/ old calendar/ former, ex-;-;-
soi-même;goutte, œil;3;6;4;自;811;ji, 	shi;oneself;mizuka(ra);oneself, personally
blanc;goutte, soleil;3;5;5;白;1630;haku, 	byaku;white;shiro, [shira], shiro(i);white, fair (skin)/ gray (hair)/ blank (paper)/ spotless/ innocent. feigned ignorance 
cent;blanc, un;3;6;5;百;1716;hyaku;hundred/ a great number/ all;-;-
dedans;bâton, bouche;3;4;5;中;1376;chuu, [jyuu];center, middle/ middle (course)/ (golden) mean/ medium, mediocrity, average/ second volume (of three) ;naka;inside, interior, midst, middle, mean, midway 
mille;goutte, dix;3;3;5;千;1166;sen;thousand, many;chi;thousand, many
boîte mesure;mille, aiguille;3;4;1;升;960;shoo;1.8 liter;masu;a measuring box
s’élever;soleil, boîte mesure;3;8;2;昇;970;shoo;rise, ascend, go up, climb/ go to (the capital)/ add up to/ be promoted/ advance (in price)/ sail up/ come up (on the agenda) ;nobo(ru);rise, ascend, go up, climb/ go to (the capital)/ add up to/ be promoted/ advance (in price)/ sail up/ come up (on the agenda) 
langue;mille, bouche;3;6;1;舌;1164;zetsu;tongue/ reed/ clapper;shita;tongue/ reed/ clapper
arrondi;goutte, neuf;3;3;2;丸;292;gan;full (month)/ perfection/ purity/ the ship-name suffix anciently used after the name of a sword or a child;maru, maru(i), maru(meru);full (month)/ perfection/ purity/ the ship-name suffix anciently used after the name of a sword or a child/ make round, round off, roll up, curl up/ seduce/ cajole/ explain away/ round, circular, spherical
dimension;goutte, dix;3;3;1;寸;1101;sun;one-tenth of a foot/ measure;-;-
spécialité;dix, champ, colle;3;9;2;専;1172;sen;mainly, sorely, ;moppa(ra);mainly, sorely, 
docteur;aiguille, spécialité, goutte;3;12;1;博;1637;haku, [baku];command esteem, win acclaim/ gain, receive. doctor, PhD/ exposition, fair, exhibition;-;-
coude;partie du corps, colle;3;7;0;肘;1710;-;-;hiji;elbow/ arm (of something)
bonne aventure/occuper;baguette magique, bouche;3;5;2;占;1169;sen;occupy, hold, have, get, take (a seat);shi(meru), urana(u);occupy, hold, have, get, take (a seat). divine, forecast, augur 
au-dessus;baguette magique, plancher;3;3;5;上;1009;joo, [shoo];top/ best/ first volume. upper part/ government. aboard a ship or vehicle/ from the standpoint of/ as a matter of (fact). governmental/ imperial/ best/ high class/ going up/ presenting/ showing;ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su);up, upper part, top, summit/ surface/ far better/ higher/ (in) authority/ as far as…is concerned/ besides/ after/ emperor, sovereign/ upon (examination)/ influence of (liquor)/ lord, shogun/ superior. rise, go up/ climb up/ advance, appreciate/ be offered/ accrue/ be finished/ (expenses) come to/ go bankrupt/ begin spinning (cocoons)/ be caught/ get ruffled/ eat, drink/ die/ weaken (as a battery)/ let up (rain). raise, elevate/ fly (kites)/ praise/ increase, promote, elevate/ vomit/ usher in, admit/ send (to school)/ offer/ present, leave with/ finish/ arrange (expenses)/ observe, perform/ quote, mention, give (examples)/ bear (a child)/ improve (talents)/ do up (the hair)/ arrest/ engage/ fry/ (rains) stop. ascend, climb/ go to (the capital)/ add up to/ be promoted/ advance (in price)/ sail up/ come up (on the agenda). record/ bring up (a matter)/ serve (food)/ send some out (from Kyoto). head/ upper part/ upper stream/ emperor/ a superior/ upper part of the body/ the above. upward, outer
au-dessous;baguette magique, plafond;3;3;5;下;131;ka, 	ge;low class/ inferiority/ second, or last volume;shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru);come down, go down/ get down, descend/ be given/ be less than/ have diarrhea/ retire/ leave the capital/ give, confer/ oblige, favor with/ let down, lower/ issue (orders)/ hand down (decisions)/ have diarrhea/ lay (hands) on/ step down/ get off/ swoop down/ land/ take down, pull down, lift down, drop/ launch/ let off (passengers)/ wear (for the first time)/ cause (abortion)/ grate/ invoke/ exercise/ borrow (in subtraction)/ lock/ hang down, dangle/ fall/ abate/ wane/ stand back/ go behind/ be granted/ hang/ wear (a decoration)/ reduce (rank)/ move back/ let go, dismiss/ remove/ grant/ draw (money), withdraw/ lower part, bottom, base, foot/ downstairs/ subordinate place/ below average/ part payment/ under, lower/ sub-, subordinate/ preliminary/ the foot/ lower stream/ latter/ lower part of the body/ the masses, the servants/ the governed/ vicinity
éminent/table;baguette magique, tôt;3;8;1;卓;1321;taku;table, desk/ high;-;-
matin/dynastie;rosée, lune;3;12;4;朝;1406;choo;dynasty/ reign, regime/ period, epoch/ the court ;asa;morning, forenoon
dérision;bouche, dynastie;3;15;0;嘲;1412;choo;ridicule, insult;azake(ru);ridicule, insult
le seul;bouche, pattes;4;5;1;只;;shi;only, free, in addition ;tada;
coquillage;œil, pattes;4;7;2;貝;196;-;-;kai;shell, shellfish
employé;bouche, coquillage;4;10;4;員;51;in;member/ number/ the one in charge;-;-
regarder;œil, jambes;4;7;5;見;516;ken;hopes, chances/ ideas, opinion;mi(ru), mi(eru), mi(seru);see, look at, witness, observe/ regard as/ sightsee/ look through/ examine/ consult (a lexicon)/ tell (one’s future)/ estimate/ care for/ try, test/ be seen, be visible, be in sight/ look like, seem, appear/ come, show up/ be found
nouveau-né;anciens temps, jambes;4;7;2;児;813;ji, [ni];child;-;-
commencement;deux, paire de jambes;4;4;4;元;545;gen, 	gan;yuan/ origin/ New Year’s Day/ first year of an era. Gen Mongol (dynasty);moto;beginning, origin/ foundation, basis, source/ cause/ root (of a tree)/ (raw) material, base/ capital/ principal/ cost/ forebears/ formerly
page;unique, goutte, coquillage;4;9;0;頁;;ketsu;page, leaf ;peeji, oogai, kashira;
têtu;tête, commencement;4;13;1;頑;298;gan;stubborn/ foolish;-;-
ordinaire;goutte, vent;4;3;1;凡;1889;bon, [han];mediocrity;-;-
porter/négatif/défaite/rabais;emballage, coquillage;4;9;3;負;1747;fu;negative, minus/ minus sign ;ma(keru), ma(kasu), o(u);be defeated/ get the worst of it/ be overcome with/ yield to/ be inferior to/ lower the price/ be poisoned with lacquer. overcome, outrival, defeat. bear, carry on the back/ owe/ assume, bear (a responsibility)/ be accused of/ sustain (an injury)
myriade;un, compte-gouttes, emballé;4;3;5;万;1906;man, 	ban;ten thousand/ myriad. fully/ if by any chance;-;-
phrase orale;emballé, bouche;4;5;1;句;446;ku;phrase, clause, sentence, passage, paragraph/ expression/ line, verse, stanza/ 17-syllable poem;-;-
épiderme;partie du corps, vent;4;6;2;肌;1646;-;-;hada;skin, body/ grain, texture/ disposition
décade;paquet, jours;4;6;1;旬;932;jun, [shun];ten-day period. season (for specific products);-;-
louche;emballer, goutte;4;3;1;勺;;shaku;ladle, one tenth of a go, dip ;;
cible;oiseau blanc, louche;4;8;4;的;1460;teki;mark, target/ object/ the point. adjective ending;mato;mark, target/ object/ the point
cou;cornes, nez;4;9;3;首;869;shu;head/ neck/ beginning, the first/ poem and song counter;kubi;neck, head
entrailles de poisson;Aucun;5;1;1;乙;124;otsu;B, second/ the latter/ duplicate;-;-
tumulte;langue, hameçon;5;7;2;乱;2029;ran;riot, rebellion, war;mida(reru), mida(su);put in disorder/ disturb, agitate/ corrupt/ derange (the mind). be out of order, be confused/ be disturbed, be disorganized/ be demoralized, be lax/ be disheveled 
droit devant;dix, yeux, hameçon;5;8;3;直;1418;choku, 	jiki;honesty, frankness/ simplicity/ correctness/ being straight/ night duty ;tada(chini), nao(su), nao(ru);be mended/ get well/ be restored/ return to normal/ be installed (as a legal wife)/ change (from third to second class). mend, repair, put in order, reform, correct/ revise, amend/ re-do, alter/ cure/ restore/ adjust, regulate/ convert (money). immediately, directly, in person
outil;œil, établi;5;8;3;具;449;gu;tool/ vessel/ means/ ingredients (in a dish)/ counter for armor, suits, sets of furniture;-;-
exact;dix, yeux, établi;5;10;4;真;1056;shin;truth/ reality/ genuineness/ Buddhist sect originating in the thirteenth century;ma;just, right, due (east)/ pure, genuine, true
ingénierie;Aucun;5;3;4;工;588;koo, 	ku;artisan, mechanic/ manufacture/ work;-;-
gauche;sur le côté, travaux;5;5;5;左;682;sa;left/ the following;hidari;left/ the left/ leftist
droite;sur le côté, bouche;5;5;5;右;58;u, 	yuu;right, right hand;migi;right, right hand
posséder;sur le côté, chair;5;6;4;有;1972;yuu, 	u;possession. being, existence ;a(ru);there is, have, exist/ occur/ be located, be contained in/ (it) measures/ happen/ be found/ be held/ consist of 
financer;coquillage, posséder;5;13;1;賄;2131;wai;board/ supply/ finance;makana(u);board/ supply/ finance
intègre;argent, baguette magique;5;9;1;貞;1446;tei;chastity/ constancy/ righteousness;-;-
contribution;travail, argent;5;10;1;貢;626;koo, [ku];tribute;mitsu(gu);support, finance
paragraphe;travaux, tête;5;12;1;項;638;koo;clause, paragraph/ item/ term (in math)/ argument (in math or linguistics) ;-;-
je reçois de toi;génération, argent;5;12;0;貰;;sei, sha;get, have, obtain ;morau;
